Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8000,9093,3,5,377,138,377,0,125.6666667,217.6610515,106,0,27.6,45.96520423,56636.9735,879.7976465,1299,3097.919947,8322,20,8691,4345.5,5913.534011,8527,164,9093,2273.25,4033.601978,8322,148,0,0,0,0,96,176,329.9241175,549.8735291,0,377,57.22222222,124.9597713,15614.94444,0,1,0,0,0,0,0,0,1,64.375,125.6666667,27.6,0,0,0,0,0,0,3,377,5,138,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,10887,3,5,343,138,343,0,114.3333333,198.0311423,106,0,27.6,45.96520423,44181.13346,734.8213466,1555.285714,3698.587871,9937,12,10564,5282,6860.349991,10133,431,10887,2721.75,4815.535787,9937,147,0,0,0,0,96,176,275.558005,459.2633416,0,343,53.44444444,114.1283391,13025.27778,0,1,0,0,0,0,0,0,1,60.125,114.3333333,27.6,0,0,0,0,0,0,3,343,5,138,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,13548,3,5,350,133,350,0,116.6666667,202.0725942,101,0,26.6,43.83833938,35651.0186,590.4930617,1935.428571,4664.664077,12510,13,13099,6549.5,8734.890068,12726,373,13548,3387,6084.502445,12510,198,0,0,0,0,96,176,221.4348981,369.0581636,0,350,53.66666667,116.0840213,13475.5,0,1,0,0,0,0,0,0,1,60.375,116.6666667,26.6,0,0,0,0,0,0,3,350,5,133,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,15591,3,5,403,136,403,0,134.3333333,232.6721585,104,0,27.2,45.11319098,34571.22699,513.1165416,2227.285714,5639.171444,15015,16,15340,7670,10688.6261,15228,112,15591,3897.75,7411.991427,15015,115,0,0,0,0,96,176,192.4187031,320.6978385,0,403,59.88888889,133.2145304,17746.11111,0,1,0,0,0,0,0,0,1,67.375,134.3333333,27.2,0,0,0,0,0,0,3,403,5,136,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,17874,3,5,385,141,385,0,128.3333333,222.2798536,109,0,28.2,47.24616387,29428.21976,447.5774869,2553.428571,6430.41582,17135,13,17513,8756.5,12153.04425,17350,163,17874,4468.5,8444.947622,17135,133,0,0,0,0,96,176,167.8415576,279.7359293,0,385,58.44444444,127.6656876,16298.52778,0,1,0,0,0,0,0,0,1,65.75,128.3333333,28.2,0,0,0,0,0,0,3,385,5,141,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,20055,3,5,330,135,330,0,110,190.5255888,103,0,27,44.68780594,23186.23785,398.9030167,2865,7310.569244,19443,10,19798,9899,13792.82487,19652,146,20055,5013.75,9620.211064,19443,85,0,0,0,0,96,176,149.5886313,249.3143854,0,330,51.66666667,109.8339656,12063.5,0,1,0,0,0,0,0,0,1,58.125,110,27,0,0,0,0,0,0,3,330,5,135,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,21944,3,5,362,138,362,0,120.6666667,209.0007974,106,0,27.6,45.96520423,22785.2716,364.5643456,3134.857143,8054.526211,21400,17,21569,10784.5,15197.84605,21531,38,21944,5486,10609.40001,21400,140,0,0,0,0,96,176,136.7116296,227.852716,0,362,55.55555556,120.1697873,14440.77778,0,1,0,0,0,0,0,0,1,62.5,120.6666667,27.6,0,0,0,0,0,0,3,362,5,138,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,20012,4,6,346,141,346,0,86.5,173,109,0,23.5,43.7984018,24335.39876,499.7001799,2223.555556,6344.055212,19139,-9,19710,6570,11050.75242,19330,113,20012,4002.4,8462.651789,19139,0,0,0,0,0,128,208,199.880072,299.8201079,0,346,44.27272727,105.3850947,11106.01818,0,1,0,0,0,0,0,0,1,48.7,86.5,23.5,0,0,0,0,0,0,4,346,6,141,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,26828,4,6,408,141,408,0,102,204,72,0,23.5,29.20102738,20463.69465,372.7448934,2980.888889,6442.995023,19393,14,25772,8590.666667,9997.506806,19652,199,26828,5365.6,8238.499791,19393,153,0,0,0,0,128,208,149.0979574,223.646936,0,408,49.90909091,121.0953794,14664.09091,0,1,0,0,0,0,0,0,1,54.9,102,23.5,0,0,0,0,0,0,4,408,6,141,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,21184,3,5,359,132,359,0,119.6666667,207.2687466,100,0,26.4,43.41428336,23177.87009,377.6435045,3026.285714,7707.436533,20503,-14,21013,10506.5,14393.15853,20684,329,21184,5296,10140.31804,20503,0,0,0,0,0,96,176,141.6163142,236.0271903,0,359,54.55555556,118.9107976,14139.77778,0,1,0,0,0,0,0,0,1,61.375,119.6666667,26.4,0,0,0,0,0,0,3,359,5,132,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,26866,3,5,378,679,378,0,126,218.2384018,662,0,135.8,294.2468352,39343.40803,297.7741383,3838,8106.948542,21881,40,26444,13222,12609.12812,22138,4306,26866,6716.5,10314.78242,21881,180,0,0,0,0,96,176,111.6653019,186.1088364,0,662,117.4444444,239.0811113,57159.77778,0,1,0,0,0,0,0,0,1,132.125,126,135.8,0,0,0,0,0,0,3,378,5,679,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,359,1,1,0,0,0,0,0,0,0,0,0,0,0,5571.030641,359,0,359,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2785.51532,2785.51532,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,21750,3,5,386,685,386,0,128.6666667,222.8572039,668,0,137,296.9292845,49241.37931,367.816092,3107.142857,7655.944998,20465,17,21162,10581,14342.95395,20723,439,21750,5437.5,10020.70784,20465,151,0,0,0,0,96,176,137.9310345,229.8850575,0,668,119,241.8832363,58507.5,0,1,0,0,0,0,0,0,1,133.875,128.6666667,137,0,0,0,0,0,0,3,386,5,685,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,23611,3,5,336,133,336,0,112,193.9896904,101,0,26.6,43.83833938,19863.62289,338.8251239,3373,8563.455222,22791,32,23292,11646,16379.42148,23228,64,23611,5902.75,11259.90564,22791,158,0,0,0,0,96,176,127.0594215,211.7657024,0,336,52.11111111,111.6248678,12460.11111,0,1,0,0,0,0,0,0,1,58.625,112,26.6,0,0,0,0,0,0,3,336,5,133,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,1967,1,1,0,0,0,0,0,0,0,0,0,0,0,1016.776817,1967,0,1967,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,508.3884087,508.3884087,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,DoS Hulk
8000,26601,3,5,416,135,416,0,138.6666667,240.177712,103,0,27,44.68780594,20713.50701,300.7405737,3800.142857,9369.072267,25037,24,26089,13044.5,17225.8283,25225,864,26601,6650.25,12264.02488,25037,155,0,0,0,0,96,176,112.7777151,187.9628585,0,416,61.22222222,137.3660964,18869.44444,0,1,0,0,0,0,0,0,1,68.875,138.6666667,27,0,0,0,0,0,0,3,416,5,135,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Hulk
