Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
56607,969,0,3,0,540,0,0,0,0,270,0,180,155.8845727,557275.5418,3095.975232,484.5,267.9934701,674,295,0,0,0,0,0,969,484.5,267.9934701,674,295,0,1,0,0,0,60,0,3095.975232,0,270,202.5,135,18225,0,0,0,1,1,0,0,0,0,270,0,180,0,0,0,0,0,0,0,0,3,540,-1,512,0,0,0,0,0,0,0,0,0,0, BENIGN
56607,5423514,3,2,31,0,31,0,10.33333333,17.89785834,0,0,0,0,5.715851383,0.921911513,1355878.5,2711411.001,5422995,53,5423270,2711635,3834442.084,5422995,275,5423292,5423292,0,5423292,5423292,0,0,0,0,60,40,0.553146908,0.368764605,0,31,5.166666667,12.655697,160.1666667,0,0,0,0,1,0,0,0,0,6.2,10.33333333,0,0,0,0,0,0,0,3,31,2,0,-1,0,1,0,244,0,244,244,5422995,0,5422995,5422995, BENIGN
443,114958,0,3,0,31,0,0,0,0,31,0,10.33333333,17.89785834,269.6637033,26.09648741,57479,81287.58135,114958,0,0,0,0,0,0,114958,57479,81287.58135,114958,0,0,0,0,0,0,60,0,26.09648741,0,31,7.75,15.5,240.25,1,0,0,0,1,0,0,0,0,10.33333333,0,10.33333333,0,0,0,0,0,0,0,0,3,31,-1,501,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,118688,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,10565.51631,160.0835805,6593.777778,14825.14972,47968,41,114487,16355.28571,22950.96544,50746,273,118379,11837.9,21212.4417,53545,672,0,0,0,0,160,244,67.40361283,92.67996765,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56625,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
56560,115138008,1,1,31,31,31,31,31,0,31,31,31,0,0.538484216,0.017370459,1.15E+08,0,1.15E+08,1.15E+08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.008685229,0.008685229,31,31,31,0,0,1,0,0,1,1,0,0,0,1,46.5,31,31,0,0,0,0,0,0,1,31,1,31,-1,8192,1,0,0,0,0,0,0,0,0,0, BENIGN
62078,120273,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,10417.96579,157.9739426,6681.833333,14240.87523,46000,49,116227,16603.85714,23358.51835,51850,390,119679,11967.9,20232.70852,52157,534,0,0,0,0,160,244,66.51534426,91.45859836,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56626,450,1,1,0,0,0,0,0,0,0,0,0,0,0,4444.444444,450,0,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2222.222222,2222.222222,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,119997,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,10450.26126,158.3372918,6666.5,13252.24302,43642,25,117554,16793.42857,22898.87152,56469,78,119838,11983.8,19322.43991,48528,248,0,0,0,0,160,244,66.66833338,91.66895839,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56630,96,1,1,0,0,0,0,0,0,0,0,0,0,0,20833.33333,96,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10416.66667,10416.66667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,106149,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,11804.16207,178.9936787,5897.166667,12863.1072,41791,0,103061,14723,19956.23121,44530,102,105556,10555.6,17575.73126,45251,0,0,0,0,0,160,244,75.36575945,103.6279192,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56631,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,985018,17,20,2437,2339,1112,0,143.3529412,288.4739896,1096,0,116.95,263.8948106,4848.64236,37.56276535,27361.61111,63178.55433,336668,50,972253,60765.8125,87648.12252,336668,93,608056,32002.94737,55172.01103,243662,621,0,0,0,0,340,424,17.25856786,20.30419749,0,1112,125.6842105,268.9958409,72358.76245,0,1,0,0,0,0,0,0,1,129.0810811,143.3529412,116.95,0,0,0,0,0,0,17,2437,20,2339,-1,8192,8,0,0,0,0,0,0,0,0,0, BENIGN
56622,2677,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,11580.12701,1494.209936,892.3333333,1052.853899,2063,23,2086,2086,0,2086,2086,614,614,0,614,614,0,0,0,0,40,40,747.1049682,747.1049682,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,1,7.75,15.5,0,0,0,0,0,0,0,2,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0, BENIGN
5353,119078809,10,1,2741,152,366,88,274.1,112.5635129,152,152,152,0,24.29483486,0.092375798,1.19E+07,3.66E+07,1.16E+08,444,3015986,335109.5556,371182.4517,999258,444,0,0,0,0,0,0,0,0,0,80,8,0.083977998,0.0083978,88,366,253.75,112.3639581,12625.65909,0,0,0,0,0,0,0,0,0,276.8181818,274.1,152,0,0,0,0,0,0,10,2741,1,152,-1,-1,10,0,0,0,0,0,1.16E+08,0,1.16E+08,1.16E+08, BENIGN
0,96002781,4,1,0,0,0,0,0,0,0,0,0,0,0,0.052081825,2.40E+07,2.81E+07,5.35E+07,72,9.60E+07,3.20E+07,2.83E+07,5.35E+07,72,0,0,0,0,0,0,0,0,0,0,0,0.04166546,0.010416365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,193,0,193,193,4.80E+07,7780220.96,5.35E+07,4.25E+07, BENIGN
56515,118234229,1,1,31,31,31,31,31,0,31,31,31,0,0.524382833,0.016915575,1.18E+08,0,1.18E+08,1.18E+08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.008457788,0.008457788,31,31,31,0,0,1,0,0,1,1,0,0,0,1,46.5,31,31,0,0,0,0,0,0,1,31,1,31,-1,8192,1,0,0,0,0,0,0,0,0,0, BENIGN
65445,11127677,8,11,1829,1852,1099,0,228.625,372.3780481,1096,0,168.3636364,335.4064021,330.7968051,1.707454305,618204.2778,2528263.123,1.07E+07,55,1.11E+07,1589338.571,4040560.799,1.08E+07,197,1.11E+07,1112695.4,3385705.42,1.07E+07,2252,0,0,0,0,160,244,0.718928128,0.988526177,0,1099,184.05,336.2415289,113058.3658,0,1,0,0,0,0,0,0,1,193.7368421,228.625,168.3636364,0,0,0,0,0,0,8,1829,11,1852,-1,8192,4,0,380436,0,380436,380436,1.07E+07,0,1.07E+07,1.07E+07, BENIGN
56627,5529714,3,1,31,0,31,0,10.33333333,17.89785834,0,0,0,0,5.606076553,0.723364717,1843238,3192431.179,5529540,0,5529540,2764770,3909975.231,5529540,0,0,0,0,0,0,0,0,0,0,60,20,0.542523537,0.180841179,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,0,7.75,10.33333333,0,0,0,0,0,0,0,3,31,1,0,-1,8183,1,0,174,0,174,174,5529540,0,5529540,5529540, BENIGN
1900,64921178,7,1,928,132,133,132,132.5714286,0.534522484,132,132,132,0,16.32749178,0.123226353,9274454,2.30E+07,6.13E+07,211696,6.46E+07,1.08E+07,2.48E+07,6.13E+07,211696,0,0,0,0,0,0,0,0,0,56,8,0.107823059,0.015403294,132,133,132.4444444,0.527046277,0.277777778,0,0,0,0,0,0,0,0,0,149,132.5714286,132,0,0,0,0,0,0,7,928,1,132,-1,-1,7,0,1842677,0,1842677,1842677,6.13E+07,0,6.13E+07,6.13E+07, BENIGN
0,111814654,6,1,0,0,0,0,0,0,0,0,0,0,0,0.062603601,1.86E+07,9574712.634,3.01E+07,6144981,1.06E+08,2.11E+07,8233341.795,3.01E+07,1.33E+07,0,0,0,0,0,0,0,0,0,0,0,0.05366023,0.008943372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,0,0,0,0,1.86E+07,9574712.634,3.01E+07,6144981, BENIGN
65445,21770781,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,1.423926868,0.09186625,2.18E+07,0,2.18E+07,2.18E+07,0,0,0,0,0,2.18E+07,2.18E+07,0,2.18E+07,2.18E+07,0,0,0,0,0,40,0,0.09186625,0,31,10.33333333,17.89785834,320.3333333,0,0,1,0,1,0,0,0,0,15.5,0,15.5,0,0,0,0,0,0,0,0,2,31,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,393570,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,3186.218462,48.2760373,21865,49076.29326,191839,31,389327,55618.14286,69616.03015,192185,89,393273,39327.3,74300.70624,231740,351,0,0,0,0,160,244,20.32675255,27.94928475,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56641,704,1,1,0,0,0,0,0,0,0,0,0,0,0,2840.909091,704,0,704,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1420.454545,1420.454545,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,115369,8,10,621,632,329,0,77.625,141.7864969,327,0,63.2,131.32978,10860.80316,156.0211149,6786.411765,14212.13982,44723,46,112578,16082.57143,21431.0231,47460,249,115057,12784.11111,19456.63237,47194,611,0,0,0,0,160,224,69.34271771,86.67839714,0,329,65.94736842,129.4146968,16748.16374,0,1,0,0,0,0,0,0,1,69.61111111,77.625,63.2,0,0,0,0,0,0,8,621,10,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56642,604,1,1,0,0,0,0,0,0,0,0,0,0,0,3311.258278,604,0,604,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1655.629139,1655.629139,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
5353,102099424,7,1,427,61,61,61,61,0,61,61,61,0,4.77965478,0.078354996,1.46E+07,9268411.089,2.01E+07,921483,1.01E+08,1.68E+07,7794028.449,2.01E+07,921483,0,0,0,0,0,0,0,0,0,56,8,0.068560622,0.009794375,61,61,61,0,0,0,0,0,0,0,0,0,0,0,68.625,61,61,0,0,0,0,0,0,7,427,1,61,-1,-1,7,0,2036949,0,2036949,2036949,2.00E+07,55033.33612,2.01E+07,2.00E+07, BENIGN
62078,158301,8,10,624,630,332,0,78,142.5482374,325,0,63,130.8841727,7921.617678,113.7074308,9311.823529,15022.63077,44796,84,152266,21752.28571,19885.43137,48892,156,158014,17557.11111,24252.9447,68749,222,0,0,0,0,160,224,50.5366359,63.17079488,0,332,66,129.5320638,16778.55556,0,1,0,0,0,0,0,0,1,69.66666667,78,63,0,0,0,0,0,0,8,624,10,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56646,3093,1,1,0,0,0,0,0,0,0,0,0,0,0,646.6214032,3093,0,3093,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,323.3107016,323.3107016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,138442,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,9050.721602,137.2415885,7691.222222,14696.92008,42045,75,133399,19057,21282.91055,45374,177,138147,13814.7,25806.75005,77071,500,0,0,0,0,160,244,57.78593201,79.45565652,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
56647,930,1,1,0,0,0,0,0,0,0,0,0,0,0,2150.537634,930,0,930,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1075.268817,1075.268817,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,1508939,17,21,2437,2339,1112,0,143.3529412,288.4739896,1096,0,111.3809524,258.4758163,3165.137888,25.18325791,40782.13514,104559.9113,465789,76,1503990,93999.375,146962.3861,465789,229,1024606,51230.3,118415.3694,513802,445,0,0,0,0,340,444,11.26619433,13.91706358,0,1112,122.4615385,266.1947097,70859.62348,0,1,0,0,0,0,0,0,1,125.6842105,143.3529412,111.3809524,0,0,0,0,0,0,17,2437,21,2339,-1,8192,8,0,0,0,0,0,0,0,0,0, BENIGN
56638,2970,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,10437.71044,1346.801347,990,1315.132313,2498,81,2579,2579,0,2579,2579,472,472,0,472,472,0,0,0,0,40,40,673.4006734,673.4006734,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,1,7.75,15.5,0,0,0,0,0,0,0,2,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0, BENIGN
