Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
62078,143025,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,8767.697955,132.8439084,7945.833333,14374.78966,40223,80,135073,19296.14286,21096.92582,45312,261,142716,14271.6,18812.06489,44065,758,0,0,0,0,160,244,55.93427722,76.90963118,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
55102,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,98883,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,12671.54111,192.1462739,5493.5,12544.85578,40011,82,96271,13753,20015.11553,43042,219,98581,9858.1,17172.19084,42505,548,0,0,0,0,160,244,80.90369426,111.2425796,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
55103,98,1,1,0,0,0,0,0,0,0,0,0,0,0,20408.16327,98,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10204.08163,10204.08163,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,108810,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,11524.67604,174.6163036,6045,12586.161,40537,45,106265,15180.71429,21862.60776,48459,210,108659,10865.9,17412.127,44507,658,0,0,0,0,160,244,73.52265417,101.0936495,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
55107,292,1,1,0,0,0,0,0,0,0,0,0,0,0,6849.315068,292,0,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3424.657534,3424.657534,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,115333,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,10864.19325,164.7403605,6407.388889,13652.91787,46460,36,112666,16095.14286,20890.22448,49133,93,115212,11521.2,20839.13818,52077,443,0,0,0,0,160,244,69.36436232,95.3759982,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
55108,547,1,1,0,0,0,0,0,0,0,0,0,0,0,3656.30713,547,0,547,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1828.153565,1828.153565,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,1080164,18,21,2437,2339,1112,0,135.3888889,281.8932086,1096,0,111.3809524,258.4758163,4421.550802,36.1056284,28425.36842,60834.84003,322237,38,995306,58547.41176,82142.72839,322237,111,717640,35882,56434.55533,248586,376,0,0,0,0,360,444,16.66413619,19.44149222,0,1112,119.4,263.4722581,69417.63077,0,1,0,0,0,0,0,0,1,122.4615385,135.3888889,111.3809524,0,0,0,0,0,0,18,2437,21,2339,-1,8192,8,0,0,0,0,0,0,0,0,0, BENIGN
55099,2928,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,10587.43169,1366.120219,976,947.6333679,1943,49,985,985,0,985,985,1992,1992,0,1992,1992,0,0,0,0,40,40,683.0601093,683.0601093,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,1,7.75,15.5,0,0,0,0,0,0,0,2,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0, BENIGN
80,27378,0,2,0,0,0,0,0,0,0,0,0,0,0,73.0513551,27378,0,27378,27378,0,0,0,0,0,27378,27378,0,27378,27378,0,0,0,0,0,40,0,73.0513551,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,131,0,0,0,0,0,0,0,0,0,0, BENIGN
443,3425976,8,10,610,8099,517,0,76.25,181.0388672,1380,0,809.9,652.8080286,2542.049331,5.253977261,201528,690450.7722,2873990,39,3300851,471550.1429,1061216.763,2873990,320,511500,56833.33333,66179.08022,131469,192,0,0,0,0,160,224,2.335101005,2.918876256,0,1380,458.3684211,609.1347425,371045.1345,0,1,0,0,0,0,0,0,1,483.8333333,76.25,809.9,0,0,0,0,0,0,8,610,10,8099,-1,501,2,0,0,0,0,0,0,0,0,0, BENIGN
443,3531570,21,80,1953,103227,711,0,93,223.5233769,1380,0,1290.3375,325.2122946,29782.78783,28.59917827,35315.7,193041.6766,1886154,0,3407467,170373.35,412287.6633,1886154,250,3521061,44570.39241,238539.4926,2088118,0,0,0,0,0,420,1624,5.946363799,22.65281447,0,1380,1031.176471,582.5404488,339353.3745,0,1,0,0,0,0,0,0,3,1041.386139,93,1290.3375,0,0,0,0,0,0,21,1953,80,103227,-1,501,4,0,0,0,0,0,0,0,0,0, BENIGN
2870,94487,6,9,367,4797,193,0,61.16666667,94.94928471,1460,0,533,591.4311033,54653.02105,158.7519976,6749.071429,12394.33259,39417,77,91920,18384,16811.42332,41680,3978,94487,11810.875,25386.37387,73589,213,0,0,0,0,120,204,63.50079905,95.25119858,0,1460,322.75,500.3979083,250398.0667,0,1,0,0,0,0,0,0,1,344.2666667,61.16666667,533,0,0,0,0,0,0,6,367,9,4797,-1,262,2,0,0,0,0,0,0,0,0,0, BENIGN
2870,324,1,1,0,0,0,0,0,0,0,0,0,0,0,6172.839506,324,0,324,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3086.419753,3086.419753,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,510,0,0,0,0,0,0,0,0,0,0, BENIGN
2870,228679,17,31,821,29815,265,0,48.29411765,82.10493644,1460,0,961.7741935,629.9607771,133969.4506,209.9012152,4865.510638,10741.0527,49566,0,224959,14059.9375,15327.44592,49566,264,228679,7622.633333,16953.62964,73409,0,0,0,0,0,340,644,74.34001373,135.5612015,0,1460,625.2244898,670.4157064,449457.2194,0,1,0,0,0,0,0,0,1,638.25,48.29411765,961.7741935,0,0,0,0,0,0,17,821,31,29815,-1,312,5,0,0,0,0,0,0,0,0,0, BENIGN
2870,58,1,1,0,0,0,0,0,0,0,0,0,0,0,34482.75862,58,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,17241.37931,17241.37931,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0, BENIGN
2870,7362,4,7,687,2478,387,0,171.75,201.4751846,1460,0,354,578.8782255,429910.3504,1494.159196,736.2,860.8813055,2510,26,5195,1731.666667,2870.350211,5046,57,7362,1227,913.0071194,2722,315,0,0,0,0,80,164,543.3306167,950.8285792,0,1460,263.75,456.5495343,208437.4773,0,1,0,0,0,0,0,0,1,287.7272727,171.75,354,0,0,0,0,0,0,4,687,7,2478,-1,262,2,0,0,0,0,0,0,0,0,0, BENIGN
2870,49,1,1,0,0,0,0,0,0,0,0,0,0,0,40816.32653,49,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20408.16327,20408.16327,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,509,0,0,0,0,0,0,0,0,0,0, BENIGN
2870,10174,3,8,197,5170,197,0,65.66666667,113.738003,1460,0,646.25,699.4799599,527521.1323,1081.18734,1017.4,1195.929225,3454,0,7368,3684,5075.612475,7273,95,10174,1453.428571,1258.180943,3454,0,0,0,0,0,60,184,294.8692746,786.3180657,0,1460,447.25,632.7742848,400403.2955,0,1,0,0,0,0,0,0,2,487.9090909,65.66666667,646.25,0,0,0,0,0,0,3,197,8,5170,-1,245,1,0,0,0,0,0,0,0,0,0, BENIGN
