Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
62078,127184,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,9859.730784,149.3898604,7065.777778,14651.42469,49849,0,124281,17754.42857,22242.56697,52666,189,126898,12689.8,23175.14754,65954,0,0,0,0,0,160,244,62.90099384,86.48886652,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
57766,720,1,1,0,0,0,0,0,0,0,0,0,0,0,2777.777778,720,0,720,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1388.888889,1388.888889,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,154573,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,8106.202247,122.9192679,8587.388889,15437.21024,50918,0,147878,21125.42857,31299.94549,77595,202,154302,15430.2,20880.23744,55957,0,0,0,0,0,160,244,51.75548123,71.16378669,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
57767,261,1,1,0,0,0,0,0,0,0,0,0,0,0,7662.835249,261,0,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3831.417625,3831.417625,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,163948,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,7648.766682,115.8904043,9108.222222,16798.45178,54858,83,160545,22935,33300.32999,82171,202,163669,16366.9,21984.48943,58556,210,0,0,0,0,160,244,48.79595969,67.09444458,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
57771,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,140426,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,8922.849045,135.3025793,7801.444444,16696.82653,53287,0,133746,19106.57143,27001.37714,60092,213,140138,14013.8,22497.64138,57021,0,0,0,0,0,160,244,56.96950707,78.33307222,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
57772,768,1,1,0,0,0,0,0,0,0,0,0,0,0,2604.166667,768,0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1302.083333,1302.083333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,1087905,18,22,2437,2384,1112,0,135.3888889,281.8932086,1096,0,108.3636364,252.643273,4431.453114,36.76791632,27895,70497.23432,379521,33,1083557,63738.64706,99830.66174,379521,94,664464,31641.14286,62466.69702,286872,623,0,0,0,0,372,464,16.54556234,20.22235397,0,1112,117.5853659,260.417355,67817.19878,0,1,0,0,0,0,0,0,1,120.525,135.3888889,108.3636364,0,0,0,0,0,0,18,2437,22,2384,-1,8192,8,0,0,0,0,0,0,0,0,0, BENIGN
57763,520,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,59615.38462,7692.307692,173.3333333,150.8188759,339,44,383,383,0,383,383,181,181,0,181,181,0,0,0,0,40,40,3846.153846,3846.153846,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,1,7.75,15.5,0,0,0,0,0,0,0,2,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0, BENIGN
51489,11407835,9,12,1829,1938,1099,0,203.2222222,356.5668864,1096,0,161.5,320.6801011,330.2116484,1.840840089,570391.75,2450138.067,1.10E+07,88,1.14E+07,1425633,3863786.872,1.10E+07,124,1.14E+07,1037031,3297579.353,1.10E+07,720,0,0,0,0,192,264,0.788931467,1.051908622,0,1099,171.2272727,322.7840103,104189.5173,0,1,0,0,0,0,0,0,1,179.3809524,203.2222222,161.5,0,0,0,0,0,0,9,1829,12,1938,-1,8192,4,0,431489,0,431489,431489,1.10E+07,0,1.10E+07,1.10E+07, BENIGN
57768,5327809,5,4,301,270,270,0,60.2,118.0474481,270,0,67.5,135,107.1735117,1.689249746,665976.125,1876094.107,5309046,29,5327655,1331913.75,2651434.918,5309046,148,5327702,1775900.667,3075791.702,5327519,36,0,1,0,0,100,104,0.938472081,0.750777665,0,270,84.1,128.6394185,16548.1,0,0,0,1,1,0,0,0,0,93.44444444,60.2,67.5,0,0,0,0,0,0,5,301,4,270,-1,0,2,0,18615,0,18615,18615,5309046,0,5309046,5309046, BENIGN
62078,112595,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,11137.26187,168.7463919,6255.277778,13647.0407,44315,46,109134,15590.57143,21856.8855,47904,94,112353,11235.3,18613.99742,47070,596,0,0,0,0,160,244,71.05111239,97.69527954,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
