Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
62078,152893,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,8201.814341,124.2699143,8494.055556,17581.14396,54873,89,148279,21182.71429,26062.61656,57612,191,152611,15261.1,23042.2252,57398,346,0,0,0,0,160,244,52.32417442,71.94573983,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
58792,219,1,1,0,0,0,0,0,0,0,0,0,0,0,9132.420091,219,0,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4566.210046,4566.210046,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,124270,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,10082.88404,152.8928945,6903.888889,14717.13733,47825,51,117192,16741.71429,24080.11663,54458,216,123929,12392.9,19710.29547,50361,539,0,0,0,0,160,244,64.37595558,88.51693892,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
58793,568,1,1,0,0,0,0,0,0,0,0,0,0,0,3521.126761,568,0,568,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1760.56338,1760.56338,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,117439,8,11,624,630,332,0,78,142.5482374,325,0,57.27272727,125.6121737,10677.88384,161.7861188,6524.388889,12720.63773,40173,47,114668,16381.14286,19054.83129,43789,123,117125,11712.5,20006.17326,55399,230,0,0,0,0,160,244,68.12047105,93.6656477,0,332,62.7,126.9380703,16113.27368,0,1,0,0,0,0,0,0,1,66,78,57.27272727,0,0,0,0,0,0,8,624,11,630,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
58797,644,1,1,0,0,0,0,0,0,0,0,0,0,0,3105.590062,644,0,644,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1552.795031,1552.795031,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,127517,8,11,621,632,329,0,77.625,141.7864969,327,0,57.45454545,126.0391714,9826.140828,148.9997412,7084.277778,16140.10172,52298,85,124626,17803.71429,25266.45561,55884,308,127361,12736.1,22624.09781,58320,242,0,0,0,0,160,244,62.73673314,86.26300807,0,329,62.65,126.82324,16084.13421,0,1,0,0,0,0,0,0,1,65.94736842,77.625,57.45454545,0,0,0,0,0,0,8,621,11,632,-1,8192,4,0,0,0,0,0,0,0,0,0, BENIGN
58798,846,1,1,0,0,0,0,0,0,0,0,0,0,0,2364.066194,846,0,846,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1182.033097,1182.033097,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0, BENIGN
62078,2003628,17,21,2437,2339,1112,0,143.3529412,288.4739896,1096,0,111.3809524,258.4758163,2383.676012,18.96559641,54152.10811,136113.462,722796,76,1998130,124883.125,204915.3439,776095,2398,1577820,78891,166756.4572,722796,1279,0,0,0,0,340,444,8.484608919,10.48098749,0,1112,122.4615385,266.1947097,70859.62348,0,1,0,0,0,0,0,0,1,125.6842105,143.3529412,111.3809524,0,0,0,0,0,0,17,2437,21,2339,-1,8192,8,0,0,0,0,0,0,0,0,0, BENIGN
58789,1744,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,17775.22936,2293.577982,581.3333333,581.4785751,1196,40,548,548,0,548,548,1236,1236,0,1236,1236,0,0,0,0,40,40,1146.788991,1146.788991,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,1,7.75,15.5,0,0,0,0,0,0,0,2,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0, BENIGN
