Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
48014,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
48012,71,1,1,0,0,0,0,0,0,0,0,0,0,0,28169.01408,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,14084.50704,14084.50704,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
48010,322,1,1,0,0,0,0,0,0,0,0,0,0,0,6211.180124,322,0,322,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3105.590062,3105.590062,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
48052,165,1,3,30,10,30,30,30,0,10,0,3.333333333,5.773502692,242424.2424,24242.42424,55,39.61060464,90,12,0,0,0,0,0,165,82.5,27.57716447,102,63,0,1,0,0,32,72,6060.606061,18181.81818,0,30,10,12.24744871,150,0,0,0,1,1,0,0,0,3,12.5,30,3.333333333,0,0,0,0,0,0,1,30,3,10,-1,0,1,0,0,0,0,0,0,0,0,0,FTP-Patator
21,283,0,2,0,12,0,0,0,0,12,0,6,8.485281374,42402.82686,7067.137809,283,0,283,283,0,0,0,0,0,283,283,0,283,283,0,1,0,0,0,52,0,7067.137809,0,12,8,6.92820323,48,0,0,0,1,1,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,2,12,-1,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
48032,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000,1000000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
48018,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
48034,874,1,3,30,10,30,30,30,0,10,0,3.333333333,5.773502692,45766.59039,4576.659039,291.3333333,371.2469977,719,52,0,0,0,0,0,874,437,472.3473298,771,103,0,1,0,0,32,72,1144.16476,3432.494279,0,30,10,12.24744871,150,0,0,0,1,1,0,0,0,3,12.5,30,3.333333333,0,0,0,0,0,0,1,30,3,10,-1,0,1,0,0,0,0,0,0,0,0,0,FTP-Patator
48016,0,1,1,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
48036,168,1,3,30,10,30,30,30,0,10,0,3.333333333,5.773502692,238095.2381,23809.52381,56,128.3121195,168,-84,0,0,0,0,0,168,84,0,84,84,0,1,0,0,32,72,5952.380952,17857.14286,0,30,10,12.24744871,150,0,0,0,1,1,0,0,0,3,12.5,30,3.333333333,0,0,0,0,0,0,1,30,3,10,-1,0,1,0,0,0,0,0,0,0,0,0,FTP-Patator
