Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,15456610,3,5,356,1124,356,0,118.6666667,205.5366958,1124,0,224.8,502.6680813,95.75191455,0.517577917,2208087.143,5789696.293,1.53E+07,36,118841,59420.5,77219.59604,114023,4818,1.55E+07,3864152.5,7649131.452,1.53E+07,193,0,0,0,0,96,176,0.194091719,0.323486198,0,1124,164.4444444,378.6050419,143341.7778,0,1,0,0,0,0,0,0,1,185,118.6666667,224.8,0,0,0,0,0,0,3,356,5,1124,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,15457667,3,5,382,1124,382,0,127.3333333,220.5478028,1124,0,224.8,502.6680813,97.42738021,0.517542524,2208238.143,5789621.427,1.53E+07,39,119893,59946.5,84505.62431,119701,192,1.55E+07,3864416.75,7648980.5,1.53E+07,252,0,0,0,0,96,176,0.194078447,0.323464078,0,1124,167.3333333,380.3445806,144662,0,1,0,0,0,0,0,0,1,188.25,127.3333333,224.8,0,0,0,0,0,0,3,382,5,1124,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,15450822,3,5,613,1124,613,0,204.3333333,353.915715,1124,0,224.8,502.6680813,112.4212032,0.517771805,2207260.286,5790286.474,1.53E+07,40,112472,56236,79406.67731,112385,87,1.55E+07,3862705.5,7650499.143,1.53E+07,253,0,0,0,0,96,176,0.194164427,0.323607378,0,1124,193,403.7177232,162988,0,1,0,0,0,0,0,0,1,217.125,204.3333333,224.8,0,0,0,0,0,0,3,613,5,1124,-1,110,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,15460282,3,5,315,1124,315,0,105,181.8653348,1124,0,224.8,502.6680813,93.07721554,0.517454986,2208611.714,5789954.79,1.53E+07,16,121195,60597.5,85317.3829,120926,269,1.55E+07,3865070.5,7649240.273,1.53E+07,444,0,0,0,0,96,176,0.19404562,0.323409366,0,1124,159.8888889,376.2513935,141565.1111,0,1,0,0,0,0,0,0,1,179.875,105,224.8,0,0,0,0,0,0,3,315,5,1124,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,15461524,3,5,436,1124,436,0,145.3333333,251.7247174,1124,0,224.8,502.6680813,100.8956168,0.517413419,2208789.143,5789448.193,1.53E+07,49,123582,61791,87084.44274,123369,213,1.55E+07,3865381,7648481.935,1.53E+07,279,0,0,0,0,96,176,0.194030032,0.323383387,0,1124,173.3333333,384.5568879,147884,0,1,0,0,0,0,0,0,1,195,145.3333333,224.8,0,0,0,0,0,0,3,436,5,1124,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,15464652,3,5,626,1124,626,0,208.6666667,361.4212685,1124,0,224.8,502.6680813,113.161292,0.517308763,2209236,5789252.873,1.53E+07,36,126692,63346,86732.30357,124675,2017,1.55E+07,3866163,7647961.746,1.53E+07,312,0,0,0,0,96,176,0.193990786,0.323317977,0,1124,194.4444444,405.4278947,164371.7778,0,1,0,0,0,0,0,0,1,218.75,208.6666667,224.8,0,0,0,0,0,0,3,626,5,1124,-1,111,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,16187122,3,5,540,1124,540,0,180,311.7691454,1124,0,224.8,502.6680813,102.7977673,0.494220035,2312446,5754987.285,1.53E+07,35,840430,420215,594201.6272,840379,51,1.62E+07,4046780.5,7542026.531,1.53E+07,341,0,0,0,0,96,176,0.185332513,0.308887522,0,1124,184.8888889,394.8608756,155915.1111,0,1,0,0,0,0,0,0,1,208,180,224.8,0,0,0,0,0,0,3,540,5,1124,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,17245076,4,6,359,1143,359,0,89.75,179.5,1138,0,190.5,464.1826149,87.09732564,0.57987567,1916119.556,5072961.131,1.53E+07,23,1902964,634321.3333,1088633.065,1891349,60,1.72E+07,3449015.2,6697859.404,1.53E+07,887,0,0,0,0,128,208,0.231950268,0.347925402,0,1138,136.5454545,349.121573,121885.8727,0,1,0,0,0,0,0,0,1,150.2,89.75,190.5,0,0,0,0,0,0,4,359,6,1143,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,17293611,4,6,358,1143,358,0,89.5,179,1138,0,190.5,464.1826149,86.79505975,0.578248233,1921512.333,5089832.358,1.54E+07,15,1901836,633945.3333,1095823.64,1899293,317,1.73E+07,3458722.2,6720634.279,1.54E+07,939,0,0,0,0,128,208,0.231299293,0.34694894,0,1138,136.4545455,349.057979,121841.4727,0,1,0,0,0,0,0,0,1,150.1,89.5,190.5,0,0,0,0,0,0,4,358,6,1143,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
80,18300333,4,6,388,1143,388,0,97,194,1138,0,190.5,464.1826149,83.65967985,0.546438144,2033370.333,5082422.349,1.53E+07,19,2968263,989421,1712633.737,2967000,92,1.83E+07,3660066.6,6649805.164,1.53E+07,420,0,0,0,0,128,208,0.218575258,0.327862886,0,1138,139.1818182,351.0734448,123252.5636,0,1,0,0,0,0,0,0,1,153.1,97,190.5,0,0,0,0,0,0,4,388,6,1143,-1,108,1,0,0,0,0,0,0,0,0,0,DoS GoldenEye
