Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,29268,4,4,239,426,239,0,59.75,119.5,426,0,106.5,213,22721.06054,273.3360667,4181.142857,8177.663102,21863,21,29030,9676.666667,11284.81379,22138,147,29100,9700,11069.98406,21863,214,0,0,0,0,128,144,136.6680333,136.6680333,0,426,73.88888889,153.8915563,23682.61111,0,1,0,0,0,0,0,0,1,83.125,59.75,106.5,0,0,0,0,0,0,4,239,4,426,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,2039722,3,3,239,0,239,0,79.66666667,137.9867143,0,0,0,0,117.1728304,2.941577333,407944.4,911445.1427,2038387,26,2039130,1019565,1441387.676,2038780,350,1335,667.5,143.5426766,769,566,0,0,0,0,96,112,1.470788666,1.470788666,0,239,34.14285714,90.33350905,8160.142857,0,1,0,0,0,0,0,0,1,39.83333333,79.66666667,0,0,0,0,0,0,0,3,239,3,0,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,2024937,3,3,239,0,239,0,79.66666667,137.9867143,0,0,0,0,118.0283634,2.963055147,404987.4,902500.7366,2019427,135,2024068,1012034,1430699.05,2023691,377,5510,2755,2858.12561,4776,734,0,0,0,0,96,112,1.481527573,1.481527573,0,239,34.14285714,90.33350905,8160.142857,0,1,0,0,0,0,0,0,1,39.83333333,79.66666667,0,0,0,0,0,0,0,3,239,3,0,-1,108,1,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,2004625,7,2,1195,0,239,0,170.7142857,116.6200587,0,0,0,0,596.1214691,4.489617759,250578.125,284365.3326,832165,40,2004106,334017.6667,282472.5224,832165,407,479,479,0,479,479,0,0,0,0,224,80,3.491924924,0.997692835,0,239,119.5,125.9640601,15866.94444,0,1,0,0,0,0,0,0,0,132.7777778,170.7142857,0,0,0,0,0,0,0,7,1195,2,0,-1,5792,5,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,2006393,7,2,1195,0,239,0,170.7142857,116.6200587,0,0,0,0,595.5961768,4.485661583,250799.125,283811.2689,827987,68,2005874,334312.3333,281586.5188,827987,376,451,451,0,451,451,0,0,0,0,224,80,3.488847898,0.996813685,0,239,119.5,125.9640601,15866.94444,0,1,0,0,0,0,0,0,0,132.7777778,170.7142857,0,0,0,0,0,0,0,7,1195,2,0,-1,5792,5,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,3423882,2,2,239,239,239,0,119.5,168.9985207,239,0,119.5,168.9985207,139.607615,1.168264561,1141294,1588310.265,2955254,25,2955254,2955254,0,2955254,2955254,468603,468603,0,468603,468603,0,1,0,0,64,72,0.58413228,0.58413228,0,239,143.4,130.9056912,17136.3,1,0,0,1,1,0,0,0,1,179.25,119.5,119.5,0,0,0,0,0,0,2,239,2,239,-1,5792,1,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,2030721,7,2,956,0,239,0,136.5714286,127.7508736,0,0,0,0,470.7687565,4.43192344,253840.125,343673.5099,1027391,50,1003330,167221.6667,154238.8547,411728,473,1028000,1028000,0,1028000,1028000,0,0,0,0,232,80,3.447051564,0.984871876,0,239,95.6,123.4190693,15232.26667,0,1,0,0,0,0,0,0,0,106.2222222,136.5714286,0,0,0,0,0,0,0,7,956,2,0,-1,5792,4,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,1668615,1,1,239,239,239,239,239,0,239,239,239,0,286.4651223,1.198598838,1668615,0,1668615,1668615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,0.599299419,0.599299419,239,239,239,0,0,1,0,0,1,1,0,0,0,1,358.5,239,239,0,0,0,0,0,0,1,239,1,239,-1,502,1,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,3328462,2,2,239,239,239,0,119.5,168.9985207,239,0,119.5,168.9985207,143.6098715,1.201756247,1109487.333,1484799.975,2796229,19,2796229,2796229,0,2796229,2796229,532214,532214,0,532214,532214,0,1,0,0,64,72,0.600878123,0.600878123,0,239,143.4,130.9056912,17136.3,1,0,0,1,1,0,0,0,1,179.25,119.5,119.5,0,0,0,0,0,0,2,239,2,239,-1,5792,1,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,2005061,7,2,1195,0,239,0,170.7142857,116.6200587,0,0,0,0,595.9918426,4.488641493,250632.625,284247.9911,832614,46,2004558,334093,282277.5719,832614,223,457,457,0,457,457,0,0,0,0,224,80,3.491165605,0.997475887,0,239,119.5,125.9640601,15866.94444,0,1,0,0,0,0,0,0,0,132.7777778,170.7142857,0,0,0,0,0,0,0,7,1195,2,0,-1,5792,5,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
53722,3615296,0,3,0,239,0,0,0,0,239,0,79.66666667,137.9867143,66.10800333,0.829807573,1807648,2556352.234,3615262,34,0,0,0,0,0,3615296,1807648,2556352.234,3615262,34,0,0,0,0,0,104,0,0.829807573,0,239,59.75,119.5,14280.25,0,1,0,0,1,0,0,0,0,79.66666667,0,79.66666667,0,0,0,0,0,0,0,0,3,239,-1,502,0,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
53726,2266048,0,3,0,239,0,0,0,0,239,0,79.66666667,137.9867143,105.4699636,1.323890756,1133024,1602282.753,2266009,39,0,0,0,0,0,2266048,1133024,1602282.753,2266009,39,0,0,0,0,0,104,0,1.323890756,0,239,59.75,119.5,14280.25,0,1,0,0,1,0,0,0,0,79.66666667,0,79.66666667,0,0,0,0,0,0,0,0,3,239,-1,502,0,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,2003443,7,2,1195,0,239,0,170.7142857,116.6200587,0,0,0,0,596.4731714,4.492266563,250430.375,284853.9107,831710,45,2002977,333829.5,283218.0239,831710,204,421,421,0,421,421,0,0,0,0,224,80,3.493985105,0.998281458,0,239,119.5,125.9640601,15866.94444,0,1,0,0,0,0,0,0,0,132.7777778,170.7142857,0,0,0,0,0,0,0,7,1195,2,0,-1,5792,5,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
80,3424130,2,2,239,239,239,0,119.5,168.9985207,239,0,119.5,168.9985207,139.5975036,1.168179946,1141376.667,1171169.783,2340252,33,2340252,2340252,0,2340252,2340252,1083845,1083845,0,1083845,1083845,0,1,0,0,64,72,0.584089973,0.584089973,0,239,143.4,130.9056912,17136.3,1,0,0,1,1,0,0,0,1,179.25,119.5,119.5,0,0,0,0,0,0,2,239,2,239,-1,5792,1,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
53724,3251511,0,3,0,239,0,0,0,0,239,0,79.66666667,137.9867143,73.5042877,0.922647963,1625755.5,2299108.909,3251471,40,0,0,0,0,0,3251511,1625755.5,2299108.909,3251471,40,0,0,0,0,0,104,0,0.922647963,0,239,59.75,119.5,14280.25,0,1,0,0,1,0,0,0,0,79.66666667,0,79.66666667,0,0,0,0,0,0,0,0,3,239,-1,502,0,0,0,0,0,0,0,0,0,0,DoS Slowhttptest
