Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,28596,3,5,542,4882,542,0,180.6666667,312.9238459,2896,0,976.4,1375.157009,189676.8779,279.7594069,4085.142857,7423.889287,19650,21,20441,10220.5,13758.17664,19949,492,28596,7149,9007.72413,19650,329,0,0,0,0,96,176,104.9097776,174.8496293,0,2896,602.6666667,1081.429147,1169489,0,1,0,0,0,0,0,0,1,678,180.6666667,976.4,0,0,0,0,0,0,3,542,5,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,5332,1,1,0,0,0,0,0,0,0,0,0,0,0,375.0937734,5332,0,5332,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,187.5468867,187.5468867,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,496,0,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,48368,2,4,549,4882,549,0,274.5,388.2016229,4882,0,1220.5,2441,112284.9818,124.048958,9673.6,19602.06018,44726,70,1532,1532,0,1532,1532,48368,16122.66667,24782.20435,44726,1083,0,0,0,0,64,144,41.34965266,82.69930533,0,4882,775.8571429,1822.161942,3320274.143,0,1,0,0,0,0,0,0,2,905.1666667,274.5,1220.5,0,0,0,0,0,0,2,549,4,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,1254,1,1,0,0,0,0,0,0,0,0,0,0,0,1594.896332,1254,0,1254,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,797.4481659,797.4481659,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,481,0,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,21110,2,4,550,4882,550,0,275,388.9087297,4882,0,1220.5,2441,257318.8063,284.2254856,4222,8756.869047,19884,49,294,294,0,294,294,21110,7036.666667,11126.76414,19884,493,0,0,0,0,64,144,94.74182852,189.483657,0,4882,776,1822.141231,3320198.667,0,1,0,0,0,0,0,0,2,905.3333333,275,1220.5,0,0,0,0,0,0,2,550,4,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,1174,1,1,0,0,0,0,0,0,0,0,0,0,0,1703.577513,1174,0,1174,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,851.7887564,851.7887564,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,481,0,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,25427,2,4,552,4882,552,0,276,390.3229432,4882,0,1220.5,2441,213709.836,235.9696386,5085.4,10567.9509,23987,45,410,410,0,410,410,25427,8475.666667,13434.7124,23987,519,0,0,0,0,64,144,78.65654619,157.3130924,0,4882,776.2857143,1822.100044,3320048.571,0,1,0,0,0,0,0,0,2,905.6666667,276,1220.5,0,0,0,0,0,0,2,552,4,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,715,1,1,0,0,0,0,0,0,0,0,0,0,0,2797.202797,715,0,715,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1398.601399,1398.601399,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,481,0,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,24819,2,4,549,4882,549,0,274.5,388.2016229,4882,0,1220.5,2441,218824.2878,241.750272,4963.8,10538.04492,23813,24,248,248,0,248,248,24819,8273,13459.49122,23813,305,0,0,0,0,64,144,80.58342399,161.166848,0,4882,775.8571429,1822.161942,3320274.143,0,1,0,0,0,0,0,0,2,905.1666667,274.5,1220.5,0,0,0,0,0,0,2,549,4,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,1176,1,1,0,0,0,0,0,0,0,0,0,0,0,1700.680272,1176,0,1176,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,850.3401361,850.3401361,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,481,0,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,20703,3,5,553,4882,553,0,184.3333333,319.2746989,4344,0,976.4,1896.905058,262522.3398,386.4174274,2957.571429,7354.072655,19632,20,20186,10093,13920.10409,19936,250,20703,5175.75,9639.013794,19632,127,0,0,0,0,96,176,144.9065353,241.5108921,0,4344,603.8888889,1422.298004,2022931.611,0,1,0,0,0,0,0,0,1,679.375,184.3333333,976.4,0,0,0,0,0,0,3,553,5,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,21744,2,4,551,4882,551,0,275.5,389.6158364,4882,0,1220.5,2441,249862.0309,275.9381898,4348.8,9167.905197,20747,42,256,256,0,256,256,21744,7248,11690.68351,20747,429,0,0,0,0,64,144,91.97939662,183.9587932,0,4882,776.1428571,1822.120599,3320123.476,0,1,0,0,0,0,0,0,2,905.5,275.5,1220.5,0,0,0,0,0,0,2,551,4,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,1626,1,1,0,0,0,0,0,0,0,0,0,0,0,1230.0123,1626,0,1626,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,615.0061501,615.0061501,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,481,0,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
80,19361,2,4,551,4882,551,0,275.5,389.6158364,4882,0,1220.5,2441,280615.6707,309.9013481,3872.2,8183.490313,18510,33,257,257,0,257,257,19361,6453.666667,10441.62393,18510,320,0,0,0,0,64,144,103.3004494,206.6008987,0,4882,776.1428571,1822.120599,3320123.476,0,1,0,0,0,0,0,0,2,905.5,275.5,1220.5,0,0,0,0,0,0,2,551,4,4882,-1,108,1,0,0,0,0,0,0,0,0,0,Web Attack ? Brute Force
