Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,45171948,3,5,68,23,24,21,22.66666667,1.527525232,23,0,4.6,10.2859127,2.014524589,0.177101063,6453135.429,8047575.487,1.51E+07,487,3.01E+07,1.51E+07,6991.164746,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7528209.175,1.51E+07,678,0,1,0,0,96,160,0.066412899,0.110688164,0,24,12.66666667,12.04159458,145,0,0,0,1,1,0,0,0,1,14.25,22.66666667,4.6,0,0,0,0,0,0,3,68,5,23,-1,108,3,0,698.3333333,222.1988599,930,487,1.51E+07,8241.663485,1.51E+07,1.50E+07,DoS slowloris 
80,45170052,3,5,57,22,20,18,19,1,22,0,4.4,9.838699101,1.748946404,0.177108497,6452864.571,8047402.928,1.51E+07,473,3.01E+07,1.51E+07,13824.64468,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7527938.39,1.51E+07,612,0,1,0,0,96,160,0.066415686,0.11069281,0,22,11.22222222,10.72121469,114.9444444,0,0,0,1,1,0,0,0,1,12.625,19,4.4,0,0,0,0,0,0,3,57,5,22,-1,108,3,0,601.3333333,123.3463957,719,473,1.51E+07,9909.746263,1.51E+07,1.50E+07,DoS slowloris 
80,45164541,3,5,65,19,23,19,21.66666667,2.309401077,19,0,3.8,8.497058314,1.859866128,0.177130107,6452077.286,8046776.466,1.51E+07,151,3.01E+07,1.51E+07,11084.6059,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7527325.832,1.51E+07,151,0,1,0,0,96,160,0.06642379,0.110706317,0,23,11.44444444,10.96712258,120.2777778,0,0,0,1,1,0,0,0,1,12.875,21.66666667,3.8,0,0,0,0,0,0,3,65,5,19,-1,108,3,0,300.3333333,146.5821726,444,151,1.51E+07,8245.656392,1.51E+07,1.50E+07,DoS slowloris 
80,45162737,3,5,62,18,23,19,20.66666667,2.081665999,18,0,3.6,8.049844719,1.771371828,0.177137183,6451819.571,8046533.028,1.51E+07,193,3.01E+07,1.51E+07,11618.47152,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7526997.201,1.51E+07,193,0,1,0,0,96,160,0.066426444,0.110710739,0,23,10.88888889,10.43365282,108.8611111,0,0,0,1,1,0,0,0,1,12.25,20.66666667,3.6,0,0,0,0,0,0,3,62,5,18,-1,108,3,0,255.6666667,107.6769861,380,193,1.51E+07,8352.485279,1.51E+07,1.50E+07,DoS slowloris 
80,45171435,3,5,55,18,22,16,18.33333333,3.214550254,18,0,3.6,8.049844719,1.616065551,0.177103074,6453062.143,8047575.294,1.51E+07,537,3.01E+07,1.51E+07,7260.572429,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7528111.873,1.51E+07,695,0,1,0,0,96,160,0.066413653,0.110689421,0,22,10.11111111,9.726824308,94.61111111,0,0,0,1,1,0,0,0,1,11.375,18.33333333,3.6,0,0,0,0,0,0,3,55,5,18,-1,108,3,0,595.6666667,86.49470119,695,537,1.51E+07,7795.885667,1.51E+07,1.50E+07,DoS slowloris 
80,45168695,3,5,62,24,24,16,20.66666667,4.163331999,24,0,4.8,10.73312629,1.903973537,0.177113817,6452670.714,8047511.633,1.51E+07,176,3.01E+07,1.51E+07,11699.08169,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7528001.635,1.51E+07,176,0,1,0,0,96,160,0.066417682,0.110696136,0,24,12.22222222,11.85092589,140.4444444,0,0,0,1,1,0,0,0,1,13.75,20.66666667,4.8,0,0,0,0,0,0,3,62,5,24,-1,108,3,0,252.6666667,74.14400403,324,176,1.51E+07,8306.016915,1.51E+07,1.50E+07,DoS slowloris 
80,45168835,3,5,57,24,20,17,19,1.732050808,24,0,4.8,10.73312629,1.793271843,0.177113268,6452690.714,8047373.16,1.51E+07,345,3.01E+07,1.51E+07,11788.88426,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7527912.063,1.51E+07,345,0,1,0,0,96,160,0.066417476,0.110695793,0,24,11.66666667,11.26942767,127,0,0,0,1,1,0,0,0,1,13.125,19,4.8,0,0,0,0,0,0,3,57,5,24,-1,108,3,0,455,158.757677,637,345,1.51E+07,8211.500959,1.51E+07,1.50E+07,DoS slowloris 
80,45167757,3,5,61,18,22,19,20.33333333,1.527525232,18,0,3.6,8.049844719,1.749035269,0.177117496,6452536.714,8047363.537,1.51E+07,257,3.01E+07,1.51E+07,12989.55157,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7527786.634,1.51E+07,265,0,1,0,0,96,160,0.066419061,0.110698435,0,22,10.77777778,10.29293177,105.9444444,0,0,0,1,1,0,0,0,1,12.125,20.33333333,3.6,0,0,0,0,0,0,3,61,5,18,-1,108,3,0,260.3333333,4.163331999,265,257,1.51E+07,9197.040683,1.51E+07,1.50E+07,DoS slowloris 
80,45167488,3,5,63,19,23,19,21,2,19,0,3.8,8.497058314,1.815465142,0.17711855,6452498.286,8047236.038,1.51E+07,286,3.01E+07,1.51E+07,13928.58938,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7527721.713,1.51E+07,296,0,1,0,0,96,160,0.066419456,0.110699094,0,23,11.22222222,10.72121469,114.9444444,0,0,0,1,1,0,0,0,1,12.625,21,3.8,0,0,0,0,0,0,3,63,5,19,-1,108,3,0,298.6666667,14.18919777,314,286,1.51E+07,9835.277644,1.51E+07,1.50E+07,DoS slowloris 
80,45167869,3,5,66,17,24,21,22,1.732050808,17,0,3.4,7.602631123,1.83758946,0.177117056,6452552.714,8047283.739,1.51E+07,201,3.01E+07,1.51E+07,12792.26878,1.51E+07,1.50E+07,4.52E+07,1.13E+07,7527762.689,1.51E+07,329,0,1,0,0,96,160,0.066418896,0.11069816,0,24,11.11111111,10.75226074,115.6111111,0,0,0,1,1,0,0,0,1,12.5,22,3.4,0,0,0,0,0,0,3,66,5,17,-1,108,3,0,375.3333333,201.5349432,596,201,1.51E+07,9257.49707,1.51E+07,1.50E+07,DoS slowloris 
